Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Exchange
PTY,Pimco Corporate & Income Opportunity Fund,15.03,$1.27B,2002,n/a,n/a,https://www.nasdaq.com/symbol/pty,,NYSE
PCN,Pimco Corporate & Income Stategy Fund,14.94,$589.01M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pcn,,NYSE
PCI,PIMCO Dynamic Credit and Mortgage Income Fund,21.84,$3B,2013,n/a,n/a,https://www.nasdaq.com/symbol/pci,,NYSE
PDI,PIMCO Dynamic Income Fund,29.95,$1.68B,2012,n/a,n/a,https://www.nasdaq.com/symbol/pdi,,NYSE
PGP,Pimco Global Stocksplus & Income Fund,12.84,$138.75M,2005,n/a,n/a,https://www.nasdaq.com/symbol/pgp,,NYSE
PHK,Pimco High Income Fund,8.07,$1.05B,2003,n/a,n/a,https://www.nasdaq.com/symbol/phk,,NYSE
PKO,Pimco Income Opportunity Fund,24.72,$383.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pko,,NYSE
PFL,PIMCO Income Strategy Fund,10.52,$269.93M,2003,n/a,n/a,https://www.nasdaq.com/symbol/pfl,,NYSE
PFN,PIMCO Income Strategy Fund II,9.44,$563.81M,2004,n/a,n/a,https://www.nasdaq.com/symbol/pfn,,NYSE
PMF,PIMCO Municipal Income Fund,12.31,$316.78M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pmf,,NYSE
PML,Pimco Municipal Income Fund II,13.11,$815.7M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pml,,NYSE
PMX,PIMCO Municipal Income Fund III,11.05,$363.57M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pmx,,NYSE
PNF,PIMCO New York Municipal Income Fund,11.92,$92.78M,2001,n/a,n/a,https://www.nasdaq.com/symbol/pnf,,NYSE
PNI,Pimco New York Municipal Income Fund II,10.8,$120.43M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pni,,NYSE
PYN,PIMCO New York Municipal Income Fund III,8.7938,$50.22M,2002,n/a,n/a,https://www.nasdaq.com/symbol/pyn,,NYSE
RCS,"PIMCO Strategic Income Fund, Inc.",9.37,$404.23M,1994,n/a,n/a,https://www.nasdaq.com/symbol/rcs,,NYSE
PNW,Pinnacle West Capital Corporation,91.44,$10.25B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnw,,NYSE
PES,Pioneer Energy Services Corp.,1.72,$134.53M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pes,,NYSE
PHD,Pioneer Floating Rate Trust,10.17,$251.59M,2004,n/a,n/a,https://www.nasdaq.com/symbol/phd,,NYSE
PHT,Pioneer High Income Trust,8.22,$240.29M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pht,,NYSE
MAV,Pioneer Municipal High Income Advantage Trust,10.46,$249.98M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mav,,NYSE
MHI,Pioneer Municipal High Income Trust,10.89,$247.98M,2003,n/a,n/a,https://www.nasdaq.com/symbol/mhi,,NYSE
PXD,Pioneer Natural Resources Company,137.14,$23.38B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pxd,,NYSE
PJC,Piper Jaffray Companies,66.64,$988.07M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/pjc,,NYSE
PBI,Pitney Bowes Inc.,6.54,$1.23B,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/pbi,,NYSE
PBI^B,Pitney Bowes Inc.,21.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pbi^b,,NYSE
PVTL,"Pivotal Software, Inc.",17.39,$4.48B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/pvtl,,NYSE
PJT,PJT Partners Inc.,40.33,$897.44M,2015,Finance,Investment Managers,https://www.nasdaq.com/symbol/pjt,,NYSE
PAA,"Plains All American Pipeline, L.P.",23.09,$16.77B,1998,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/paa,,NYSE
PAGP,"Plains Group Holdings, L.P.",22.4,$3.57B,2013,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/pagp,,NYSE
PLNT,"Planet Fitness, Inc.",54.02,$5.03B,2015,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/plnt,,NYSE
PLT,"Plantronics, Inc.",36.36,$1.45B,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/plt,,NYSE
PAH,Platform Specialty Products Corporation,10.91,$3.15B,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pah,,NYSE
AGS,"PlayAGS, Inc.",22.37,$789.78M,2018,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/ags,,NYSE
PHI,PLDT Inc.,21.16,$4.57B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/phi,,NYSE
PNC,"PNC Financial Services Group, Inc. (The)",118.5,$54.68B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/pnc,,NYSE
